[1/20] size=10 seed=0 warm=0.0s (elapsed 0s)
    RandomRouteReassignment                propose     8.80us  apply     6.50us  actionable  72.1%
    RandomCustomerReassignment             propose    12.00us  apply     4.10us  actionable  87.1%
    RandomCustomerChainReassignment        propose     4.40us  apply     4.80us  actionable  44.5%
    ReassignClosestChainWithRandomCustomer propose     4.40us  apply     4.40us  actionable  38.7%
    ReverseClosestPairTogether             propose     2.50us  apply     2.20us  actionable  41.8%
    RandomCustomerChainReversal            propose     3.50us  apply     1.90us  actionable  75.2%
    RandomCustomerSwap                     propose     9.10us  apply     2.40us  actionable  93.7%
    RandomSameLengthChainSwap              propose    10.60us  apply     2.60us  actionable  92.1%
    RandomChainSwap                        propose    14.10us  apply    10.00us  actionable  92.6%
    SwapRouteHeadsAtSharedDepot            propose    13.30us  apply     9.70us  actionable  72.2%
    SwapRouteTailsAtSharedDepot            propose    14.80us  apply     9.90us  actionable  98.5%
    CustomerBestOfkSwapInRandomRoute       propose   122.70us  apply     3.40us  actionable  74.9%
    RandomRoutePermutation                 propose     8.80us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     4.60us  apply     2.10us  actionable 100.0%
    SplitRandomRoute                       propose     6.30us  apply    13.10us  actionable  75.7%
    CombineRandomRoutes                    propose    95.30us  apply     8.20us  actionable 100.0%
[2/20] size=10 seed=1 warm=0.0s (elapsed 13s)
    RandomRouteReassignment                propose     8.80us  apply     6.50us  actionable  71.5%
    RandomCustomerReassignment             propose    12.20us  apply     4.10us  actionable  87.1%
    RandomCustomerChainReassignment        propose     4.70us  apply     4.90us  actionable  44.5%
    ReassignClosestChainWithRandomCustomer propose     4.40us  apply     4.40us  actionable  38.8%
    ReverseClosestPairTogether             propose     2.50us  apply     2.20us  actionable  41.7%
    RandomCustomerChainReversal            propose     3.60us  apply     1.90us  actionable  75.1%
    RandomCustomerSwap                     propose     9.40us  apply     2.50us  actionable  93.9%
    RandomSameLengthChainSwap              propose    11.00us  apply     2.70us  actionable  92.4%
    RandomChainSwap                        propose    14.60us  apply    10.10us  actionable  92.6%
    SwapRouteHeadsAtSharedDepot            propose    13.70us  apply     9.80us  actionable  72.2%
    SwapRouteTailsAtSharedDepot            propose    15.00us  apply     9.80us  actionable  98.3%
    CustomerBestOfkSwapInRandomRoute       propose   126.80us  apply     3.40us  actionable  75.1%
    RandomRoutePermutation                 propose     9.20us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     4.80us  apply     2.10us  actionable 100.0%
    SplitRandomRoute                       propose     6.40us  apply    13.50us  actionable  74.6%
    CombineRandomRoutes                    propose    96.50us  apply     8.20us  actionable 100.0%
[3/20] size=10 seed=2 warm=0.0s (elapsed 27s)
    RandomRouteReassignment                propose     8.70us  apply     6.50us  actionable  71.7%
    RandomCustomerReassignment             propose    12.10us  apply     4.10us  actionable  86.9%
    RandomCustomerChainReassignment        propose     4.70us  apply     4.80us  actionable  44.9%
    ReassignClosestChainWithRandomCustomer propose     4.40us  apply     4.40us  actionable  38.4%
    ReverseClosestPairTogether             propose     2.70us  apply     2.20us  actionable  41.6%
    RandomCustomerChainReversal            propose     3.70us  apply     1.80us  actionable  75.4%
    RandomCustomerSwap                     propose     9.20us  apply     2.40us  actionable  93.8%
    RandomSameLengthChainSwap              propose    10.80us  apply     2.60us  actionable  92.1%
    RandomChainSwap                        propose    14.50us  apply    10.00us  actionable  92.7%
    SwapRouteHeadsAtSharedDepot            propose    13.80us  apply     9.70us  actionable  72.8%
    SwapRouteTailsAtSharedDepot            propose    15.00us  apply     9.70us  actionable  98.5%
    CustomerBestOfkSwapInRandomRoute       propose   125.80us  apply     3.40us  actionable  74.7%
    RandomRoutePermutation                 propose     9.10us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     4.70us  apply     1.30us  actionable 100.0%
    SplitRandomRoute                       propose     6.50us  apply    13.40us  actionable  75.0%
    CombineRandomRoutes                    propose    95.00us  apply     8.10us  actionable 100.0%
[4/20] size=10 seed=3 warm=0.0s (elapsed 39s)
    RandomRouteReassignment                propose     8.70us  apply     6.50us  actionable  71.3%
    RandomCustomerReassignment             propose    12.30us  apply     4.10us  actionable  87.0%
    RandomCustomerChainReassignment        propose     6.40us  apply     5.10us  actionable  44.9%
    ReassignClosestChainWithRandomCustomer propose     4.80us  apply     4.80us  actionable  38.4%
    ReverseClosestPairTogether             propose     2.60us  apply     2.20us  actionable  41.8%
    RandomCustomerChainReversal            propose     3.60us  apply     1.80us  actionable  74.8%
    RandomCustomerSwap                     propose     9.30us  apply     2.40us  actionable  93.8%
    RandomSameLengthChainSwap              propose    10.80us  apply     2.60us  actionable  92.1%
    RandomChainSwap                        propose    14.70us  apply    10.10us  actionable  92.6%
    SwapRouteHeadsAtSharedDepot            propose    13.60us  apply     9.80us  actionable  71.9%
    SwapRouteTailsAtSharedDepot            propose    15.10us  apply     9.85us  actionable  98.5%
    CustomerBestOfkSwapInRandomRoute       propose   126.40us  apply     3.30us  actionable  75.2%
    RandomRoutePermutation                 propose     9.20us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     4.80us  apply     2.10us  actionable 100.0%
    SplitRandomRoute                       propose     6.40us  apply    12.90us  actionable  75.3%
