[1/12] size=10 seed=0 warm=180.0s (elapsed 0s)
    RandomRouteReassignment                propose     8.80us  apply     4.10us  actionable  66.8%
    RandomCustomerReassignment             propose    11.20us  apply     3.90us  actionable  88.5%
    RandomCustomerChainReassignment        propose     9.90us  apply     5.00us  actionable  57.4%
    ReassignClosestChainWithRandomCustomer propose     8.25us  apply     4.50us  actionable  50.7%
    ReverseClosestPairTogether             propose     8.20us  apply     2.20us  actionable  55.0%
    RandomCustomerChainReversal            propose     3.60us  apply     1.90us  actionable 100.0%
    RandomCustomerSwap                     propose     8.90us  apply     2.40us  actionable 100.0%
    RandomSameLengthChainSwap              propose    12.50us  apply     3.50us  actionable 100.0%
    RandomChainSwap                        propose    14.40us  apply    10.10us  actionable  97.6%
    SwapRouteHeadsAtSharedDepot            propose    14.20us  apply    10.00us  actionable  96.2%
    SwapRouteTailsAtSharedDepot            propose    13.80us  apply    10.10us  actionable  58.8%
    CustomerBestOfkSwapInRandomRoute       propose   127.60us  apply     3.40us  actionable 100.0%
    RandomRoutePermutation                 propose     9.60us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     4.80us  apply     2.30us  actionable 100.0%
    SplitRandomRoute                       propose     6.50us  apply    13.20us  actionable 100.0%
    CombineRandomRoutes                    propose    91.30us  apply    10.90us  actionable 100.0%
[2/12] size=10 seed=1 warm=180.0s (elapsed 194s)
    RandomRouteReassignment                propose     8.70us  apply     6.00us  actionable  66.7%
    RandomCustomerReassignment             propose    11.20us  apply     3.80us  actionable  88.8%
    RandomCustomerChainReassignment        propose    10.10us  apply     4.90us  actionable  57.6%
    ReassignClosestChainWithRandomCustomer propose     9.30us  apply     4.50us  actionable  50.1%
    ReverseClosestPairTogether             propose     8.40us  apply     2.20us  actionable  55.3%
    RandomCustomerChainReversal            propose     3.70us  apply     1.90us  actionable 100.0%
    RandomCustomerSwap                     propose     9.30us  apply     2.50us  actionable 100.0%
    RandomSameLengthChainSwap              propose    13.00us  apply     3.50us  actionable 100.0%
    RandomChainSwap                        propose    14.90us  apply    10.20us  actionable  97.7%
    SwapRouteHeadsAtSharedDepot            propose    14.70us  apply    10.00us  actionable  96.3%
    SwapRouteTailsAtSharedDepot            propose    14.20us  apply    10.10us  actionable  58.0%
    CustomerBestOfkSwapInRandomRoute       propose   130.10us  apply     3.40us  actionable 100.0%
    RandomRoutePermutation                 propose     9.60us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     4.90us  apply     2.30us  actionable 100.0%
    SplitRandomRoute                       propose     6.60us  apply    13.00us  actionable 100.0%
    CombineRandomRoutes                    propose    92.45us  apply    10.90us  actionable 100.0%
[3/12] size=10 seed=2 warm=180.0s (elapsed 388s)
    RandomRouteReassignment                propose     8.90us  apply     6.30us  actionable  67.4%
    RandomCustomerReassignment             propose    11.60us  apply     3.80us  actionable  89.9%
    RandomCustomerChainReassignment        propose    12.80us  apply     4.70us  actionable  84.7%
    ReassignClosestChainWithRandomCustomer propose    11.60us  apply     4.10us  actionable  69.3%
    ReverseClosestPairTogether             propose     8.50us  apply     2.10us  actionable  77.9%
    RandomCustomerChainReversal            propose     3.70us  apply     1.90us  actionable 100.0%
    RandomCustomerSwap                     propose     9.20us  apply     2.50us  actionable 100.0%
    RandomSameLengthChainSwap              propose    12.90us  apply     3.75us  actionable  97.0%
    RandomChainSwap                        propose    15.00us  apply    10.20us  actionable  97.1%
    SwapRouteHeadsAtSharedDepot            propose    13.80us  apply    10.10us  actionable  58.5%
    SwapRouteTailsAtSharedDepot            propose    15.00us  apply     9.80us  actionable  96.1%
    CustomerBestOfkSwapInRandomRoute       propose   130.00us  apply     3.40us  actionable 100.0%
    RandomRoutePermutation                 propose     9.80us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     4.90us  apply     2.30us  actionable 100.0%
    SplitRandomRoute                       propose     6.60us  apply    13.20us  actionable 100.0%
    CombineRandomRoutes                    propose    93.00us  apply     8.40us  actionable 100.0%
[4/12] size=100 seed=0 warm=180.0s (elapsed 582s)
    RandomRouteReassignment                propose     9.20us  apply     4.00us  actionable  93.0%
    RandomCustomerReassignment             propose    11.80us  apply     3.80us  actionable  98.8%
    RandomCustomerChainReassignment        propose    13.30us  apply     4.50us  actionable  90.8%
    ReassignClosestChainWithRandomCustomer propose    12.60us  apply     3.80us  actionable  84.1%
    ReverseClosestPairTogether             propose     8.40us  apply     2.10us  actionable  85.0%
    RandomCustomerChainReversal            propose     3.50us  apply     1.90us  actionable  92.0%
    RandomCustomerSwap                     propose     9.30us  apply     2.40us  actionable  99.8%
    RandomSameLengthChainSwap              propose    13.20us  apply     4.00us  actionable  99.3%
    RandomChainSwap                        propose    14.90us  apply    10.10us  actionable  99.2%
    SwapRouteHeadsAtSharedDepot            propose    14.70us  apply     9.80us  actionable  99.5%
    SwapRouteTailsAtSharedDepot            propose    17.00us  apply     9.90us  actionable  99.6%
    CustomerBestOfkSwapInRandomRoute       propose   128.10us  apply     3.40us  actionable  91.9%
    RandomRoutePermutation                 propose    10.65us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     5.00us  apply     2.30us  actionable 100.0%
    SplitRandomRoute                       propose     6.60us  apply    15.00us  actionable  91.9%
    CombineRandomRoutes                    propose   114.10us  apply    10.50us  actionable 100.0%
[5/12] size=100 seed=1 warm=180.0s (elapsed 777s)
    RandomRouteReassignment                propose     9.40us  apply     4.00us  actionable  92.8%
    RandomCustomerReassignment             propose    12.30us  apply     3.80us  actionable  98.7%
    RandomCustomerChainReassignment        propose    13.90us  apply     4.60us  actionable  90.5%
    ReassignClosestChainWithRandomCustomer propose    12.90us  apply     3.90us  actionable  79.4%
    ReverseClosestPairTogether             propose     9.00us  apply     2.10us  actionable  80.1%
    RandomCustomerChainReversal            propose     3.80us  apply     2.00us  actionable  96.2%
    RandomCustomerSwap                     propose     9.80us  apply     2.50us  actionable  99.8%
    RandomSameLengthChainSwap              propose    13.70us  apply     4.20us  actionable  99.6%
    RandomChainSwap                        propose    15.60us  apply    10.20us  actionable  99.4%
    SwapRouteHeadsAtSharedDepot            propose    15.20us  apply     9.90us  actionable  99.4%
